Sentence,Sentiment
Bitcoin hits all-time high,positive
Hunt for Bitcoin's elusive creator Satoshi Nakamoto hits another dead-end,negative
"Bitcoin roars to $71,000 as U.S. ",positive
"Apple is continuing its week of announcements by revealing the latest MacBook Pro lineup, as well as its new top-of-the-line chip. ",positive
Donald Trump's approach to Big Tech has oscillated between calls for stricter regulations for some players and a hands-off approach for others.,neutral
"Google will soon let children use Google Wallet and its tap-to-pay feature on Android phones, which debuted earlier this year with the Fitbit Ace LTE.",neutral
Apple secretly included quantum dot tech in the M4 MacBook Pro's display,neutral
What Crypto Wants From Trump,neutral
"The post-election rally has led stock exposure to jump to its highest level since 2013 amid a ""surge in bulls,"" BofA says.",positive
"Black Friday Apple deals 2024: The best Apple sales on iPads, AirPods, Apple Watches and MacBooks",neutral
State Based Bitcoin Reserves Could Help Drive Pro-Crypto Policies Forward,positive
Apple Goes Big This Black Friday: The MacBook Air M2 Is Now 2X Cheaper Than The Pro,positive
"Apple has partnered with select merchants to offer Apple Card users three percent Daily Cash back on their purchases, and two new companies were added to the partner list today. ",positive
The strong support from the crypto community for Trump’s return to the White House,neutral
Amazon's AirPods Pro 2 inventory is likely to sell out very quickly at this price point.,positive
Apple’s True Conversational ‘LLM Siri’ May Not Arrive on iPhones Until 2026,negative
"Released A Month Ago, The MacBook Pro M4 Has Had Its Price Slashed Heavily By Amazon",negative
The Greenidge Generation gas-fired power plant is home to a large bitcoin mining operation.,neutral
"Roman Sterlingov testified at trial that he never operated Bitcoin Fog, which allowed users to obfuscate the origins of their crypto.",neutral
"Shares of Trump's social media company, Elon Musk's Tesla, and both Coinbase and MicroStrategy jumped in anticipation of a second Trump term.",positive
"Apple showed off a new 24-inch iMac with a variety of color options, though there's still no option for a M4 Pro chip.",neutral
"A US judge sentences Russian-Swedish national Roman Sterlingov to 12.5 years for operating crypto mixer Bitcoin Fog from 2011 to 2021, laundering ~$400M  —  The founder of a cryptocurrency mixing service known as Bitcoin Fog was o",negative
A first look at Apple’s redesigned Mac Mini and its other new Macs,neutral
"The 40 Black Friday tech deals worth shopping from Amazon, Walmart, Apple, Anker and others",neutral
Indexes fell for a second day on Thursday as investors reacted to the latest tech earnings and digested the Fed's preferred inflation gauge.,negative
Bitcoin ETFs see highest daily outflows ever as traders brace for Election Day volatility,negative
An iPad for less than $200 is a new low.,positive
Shares of Block Inc. fell in late trading after the digital payments company posted third-quarter revenue that was below analysts’ forecasts. ,negative
Block Declines After Third-Quarter Revenue Misses Estimates,negative
Bitcoin hacker sentenced to five years in prison,negative
'King Bob' from Palm Coast facing additional federal charges in 'phishing scheme',negative
"Hope you weren’t expecting a revolution in the 14- and 16-inch MacBook Pro, though the next slate of high-end MacBooks now come base with 16GB of RAM.",neutral
What’s Your Parenting-Failure Style?,negative
"Bitcoin is soaring to new record highs, rallying in response to Donald Trump’s presidential election victory. ",positive
This is the record low price for an Apple tablet.,negative
The new Mac Mini is great — now do the iPhone SE,positive
Markets soared Wednesday morning after Donald Trump won the White House for a second term.,negative
"Just Before Black Friday, Amazon is Slashing Prices on The New MacBook Air With The XL 15-Inch Display",positive
Dollar jumps!,positive
"As Trump's win stirs uncertainty in Silicon Valley, tech investors weigh regulatory shifts, a changing M&A market, while pondering the future of antitrust policies under his administration.",negative
"A crypto wallet gives you greater control over your digital assets, so it's important to choose the one that fits your investment style.",positive
"The leading cryptocurrency traded above $70,000 on Tuesday morning, gaining 2.4%.",positive
"Solana, Popcat, Raydium, and more: Cryptocurrencies to watch this week",neutral
Laptop That Helped Bring Down Bitcoin Thief ‘Razzlekhan’ Is Now in the Smithsonian,neutral
"Bitcoin inches closer to $100,000. ",positive
"A new phishing email scam is incredibly alarming, but you don't have to fall for it. ",negative
"The S&P 500 will gain 11% by mid-2025 as the bull market accelerates under Trump, Evercore says",positive
The Apple AirPods Pro 2 hearing health features are finally live. ,neutral
Australia's proposed social media ban for kids is a 1950s solution to a 2024 problem,negative
"Fortunately for Apple, it just so happens to coincide with its earnings",neutral
Silicon Valley is officially grieving over Trump but quietly gleeful over a possible tech deal resurgence,neutral
"Donald Trump clinched victory in the 2024 U.S. presidential election, clearing the way for his return to the Oval Office.",neutral
"The cryptocurrency market is buzzing with anticipation as Bitcoin hovers tantalizingly close to to the elusive $100,000 milestone.",positive
"Black Friday Apple deals: The best sales we could find on AirPods, iPads, MacBooks and AirTags",neutral
Save with verified discounts in November 2024.,positive
"Small-cap stocks, supported by a pro-business Trump administration, could soar in the coming years, Fundstrat's Tom Less said.",positive
"On the heels of a rally sparked by Donald Trump’s presidential election win, Bitcoin’s price is finally moderating — but not before beating out silver to become the eighth largest asset in the world.",positive
Apple released iOS 18.1 a week ago on October 28.,neutral
"We gave it a score of 92 in our review, due in part to its great screen. ",positive
"This Is The Lowest Price Ever on The AirPods Pro 2, Amazon Has Slashed The Price Like Never Before For Black Friday",positive
"These sensors would be able to track things like blood pressure, and respiration rate measurements.",neutral
"A New Email Scam Is Shockingly Realistic, Here's Everything You Need To Know About Protecting Yourself",negative
"Bitcoin's price continues to hover near $90,000, but analysts warn it could face a short-term correction.",negative
"In macOS Sequoia 15.2, you can share a single window or app over AirPlay instead of your entire screen.",neutral
Picture a HomePod with a display as big as two iPhones placed side by side.,neutral
Ilya Lichtenstein masterminded one of the largest-,negative
A 40% discount on an Apple product is unheard of.,negative
"Stock market today: Indexes drop as tech shares slide before Apple, Amazon earnings",negative
"The Trump trade was largely extended on Monday, with shares of Tesla, bitcoin, the US dollar, and US bank stocks all surging.",positive
"But new research says the site is flooded with what’s known as “wash trading,” and that’s making the platform seem more popular than it is.",negative
"At $749, this premium MacBook Air M2 is priced similarly to mid-range Windows laptops.",neutral
"Amazon Has Lowered The Price of AirTags Once More, And We Highly Recommend The 4-Pack Option",positive
Apple told EU users on Monday that its AI suite will arrive in April 2025. ,neutral
"Bitcoin’s rally shows no signs of slowing, with the leading cryptocurrency surging past the $98,000 mark to hit a new all-time high.",positive
"Bitcoin has surged to a new high of $94,000, bringing the long-anticipated milestone of $100,000 tantalizingly within reach. ",positive
